"Farm","Paddock","Mow","Herbicide","Buttercuppc","BareGrnd"
"Farm A","Dry","Mow","MCPB+bentazone",1.5,45
"Farm A","Dry","Mow","Thifensulfuron-methyl",2.5,90
"Farm A","Dry","Mow","MCPB",1.25,60
"Farm A","Dry","Mow","Thifensulfuron-methyl",4.5,70
"Farm A","Dry","Mow","Nil",7.5,60
"Farm A","Dry","Mow","MCPA",0.55,80
"Farm A","Dry","Mow","MCPB+bentazone",2.5,65
"Farm A","Dry","Mow","MCPB+bentazone",1.1,45
"Farm A","Dry","Mow","Thifensulfuron-methyl",1.75,40
"Farm A","Dry","Mow","MCPB",2.75,40
"Farm A","Dry","No Mow","Aminopyralid",1.75,45
"Farm A","Dry","No Mow","MCPB+bentazone",6,30
"Farm A","Dry","No Mow","MCPB",13.5,40
"Farm A","Dry","No Mow","MCPB",7.5,90
"Farm A","Dry","No Mow","Aminopyralid+triclopyr",0.25,110
"Farm A","Dry","No Mow","MCPB+bentazone",6,75
"Farm A","Dry","No Mow","Nil",25,55
"Farm A","Dry","No Mow","Nil",18,35
"Farm A","Dry","No Mow","Thifensulfuron-methyl",2.75,30
"Farm A","Dry","No Mow","Thifensulfuron-methyl",4,63
"Farm A","Dry","No Mow","Flumetsulam",0.5,25
"Farm A","Dry","No Mow","Flumetsulam",1.5,25
"Farm A","Dry","No Mow","Flumetsulam",0,45
"Farm A","Dry","No Mow","MCPB",40,85
"Farm A","Dry","No Mow","Aminopyralid+triclopyr",0.075,70
"Farm A","Dry","No Mow","MCPA",1.1,25
"Farm A","Dry","No Mow","MCPA",1.25,45
"Farm A","Dry","No Mow","Aminopyralid+triclopyr",0.005,105
"Farm A","Dry","No Mow","Aminopyralid",0.375,95
"Farm A","Dry","No Mow","MCPA",1.75,63
"Farm A","Dry","No Mow","Nil",35,35
"Farm A","Dry","No Mow","Aminopyralid",0.255,35
"Farm A","Dry","No Mow","MCPB+bentazone",3.75,30
"Farm A","Dry","No Mow","Thifensulfuron-methyl",0.1,65
"Farm C","Wet","Mow","Thifensulfuron-methyl",NA,NA
"Farm C","Wet","Mow","Aminopyralid+triclopyr",NA,NA
"Farm C","Wet","Mow","Aminopyralid",NA,NA
"Farm C","Wet","Mow","MCPB",NA,NA
"Farm C","Wet","Mow","MCPA",NA,NA
"Farm C","Wet","Mow","Thifensulfuron-methyl",NA,NA
"Farm C","Wet","Mow","MCPB+bentazone",NA,NA
"Farm C","Wet","Mow","MCPA",NA,NA
"Farm C","Wet","Mow","Aminopyralid",NA,NA
"Farm C","Wet","Mow","MCPB+bentazone",NA,NA
"Farm C","Wet","Mow","Aminopyralid+triclopyr",NA,NA
"Farm C","Wet","Mow","Aminopyralid",NA,NA
"Farm C","Wet","Mow","MCPB",NA,NA
"Farm C","Wet","Mow","MCPB+bentazone",NA,NA
"Farm C","Wet","Mow","Aminopyralid+triclopyr",NA,NA
"Farm C","Wet","Mow","Flumetsulam",NA,NA
"Farm C","Wet","Mow","MCPB",NA,NA
"Farm C","Wet","Mow","Nil",NA,NA
"Farm C","Wet","Mow","Nil",NA,NA
"Farm C","Wet","Mow","Flumetsulam",NA,NA
"Farm C","Wet","Mow","Thifensulfuron-methyl",NA,NA
"Farm C","Wet","Mow","Flumetsulam",NA,NA
"Farm C","Wet","Mow","Nil",NA,NA
"Farm C","Wet","Mow","MCPA",NA,NA
"Farm C","Wet","No Mow","Aminopyralid+triclopyr",NA,NA
"Farm C","Wet","No Mow","MCPA",NA,NA
"Farm C","Wet","No Mow","Aminopyralid",NA,NA
"Farm C","Wet","No Mow","Aminopyralid+triclopyr",NA,NA
"Farm C","Wet","No Mow","MCPB+bentazone",NA,NA
"Farm C","Wet","No Mow","Nil",NA,NA
"Farm C","Wet","No Mow","Thifensulfuron-methyl",NA,NA
"Farm C","Wet","No Mow","MCPB",NA,NA
"Farm C","Wet","No Mow","MCPA",NA,NA
"Farm C","Wet","No Mow","Flumetsulam",NA,NA
"Farm C","Wet","No Mow","Aminopyralid",NA,NA
"Farm C","Wet","No Mow","Nil",NA,NA
"Farm C","Wet","No Mow","Nil",NA,NA
"Farm C","Wet","No Mow","Aminopyralid",NA,NA
"Farm C","Wet","No Mow","MCPB",NA,NA
"Farm C","Wet","No Mow","MCPB+bentazone",NA,NA
"Farm C","Wet","No Mow","MCPA",NA,NA
"Farm C","Wet","No Mow","Thifensulfuron-methyl",NA,NA
"Farm C","Wet","No Mow","Thifensulfuron-methyl",NA,NA
"Farm C","Wet","No Mow","Aminopyralid+triclopyr",NA,NA
"Farm C","Wet","No Mow","MCPB",NA,NA
"Farm C","Wet","No Mow","Flumetsulam",NA,NA
"Farm C","Wet","No Mow","MCPB+bentazone",NA,NA
"Farm C","Wet","No Mow","Flumetsulam",NA,NA
"Farm C","Dry","Mow","MCPB",3,225
"Farm C","Dry","Mow","MCPA",3,345
"Farm C","Dry","Mow","Aminopyralid+triclopyr",0,440
"Farm C","Dry","Mow","Aminopyralid",2.75,390
"Farm C","Dry","Mow","Nil",2.25,435
"Farm C","Dry","Mow","MCPA",0.55,350
"Farm C","Dry","Mow","MCPB+bentazone",2.75,225
"Farm C","Dry","Mow","Thifensulfuron-methyl",1.5,245
"Farm C","Dry","Mow","MCPB+bentazone",0.75,265
"Farm C","Dry","Mow","Nil",6.5,300
"Farm C","Dry","Mow","Nil",4.5,305
"Farm C","Dry","Mow","Aminopyralid",0.55,325
"Farm C","Dry","Mow","MCPB",1.55,285
"Farm C","Dry","Mow","Aminopyralid+triclopyr",0,450
"Farm C","Dry","Mow","Aminopyralid+triclopyr",0.175,475
"Farm C","Dry","Mow","Thifensulfuron-methyl",1.05,385
"Farm C","Dry","Mow","Flumetsulam",6,280
"Farm C","Dry","Mow","Aminopyralid",2,445
"Farm C","Dry","Mow","MCPB",3.5,270
"Farm C","Dry","Mow","Flumetsulam",4.75,295
"Farm C","Dry","Mow","MCPB+bentazone",5.625,295
"Farm C","Dry","Mow","Flumetsulam",7.75,310
"Farm C","Dry","Mow","MCPA",2,370
"Farm C","Dry","Mow","Thifensulfuron-methyl",5.25,260
